species,fishreg,unit,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
ABZ,37,TLW,ES	0.02 	0.03 	0.12 	0.21 	0.18 	: 	0.05 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,37,TLW,EU27_2020	0.088 	0.061 	0.166 	0.213 	0.194 	: 	0.05 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,37,TLW,EU28	0.088 	0.061 	0.166 	0.213 	0.194 	: 	0.05 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,37,TLW,MT	0.068 	0.031 	0.05 	0.003 	0.014 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,37_1,TLW,ES	0.02 	0.03 	0.12 	0.21 	0.18 	: 	0.05 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,37_1,TLW,EU27_2020	0.02 	0.03 	0.12 	0.21 	0.18 	: 	0.05 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,37_1,TLW,EU28	0.02 	0.03 	0.12 	0.21 	0.18 	: 	0.05 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,37_1_1,TLW,ES	0.02 	0.03 	0.12 	0.21 	0.18 	: 	0.05 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,37_1_1,TLW,EU27_2020	0.02 	0.03 	0.12 	0.21 	0.18 	: 	0.05 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,37_1_1,TLW,EU28	0.02 	0.03 	0.12 	0.21 	0.18 	: 	0.05 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,37_2,TLW,EU27_2020	0.068 	0.031 	0.046 	0.003 	0.014 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
