MS;refYears;spp;region;RFMO;area;select;landings;TAC;shareLanding;Thresh;commentsFinal;areaBis;speciesIncluded;area_new;areaBis_new;region_new
DNK;2016-2018; Rajidae;Other regions;WECAFC;West Central Atlantic;-;-;-;-;-;;31; Rajidae;West Central Atlantic;31;Other regions
DNK;2016-2018;Acanthocybium solandri;Other regions;WCPFC;West Central Pacific Ocean;-;-;-;-;-;;71;Acanthocybium solandri;West Central Pacific Ocean;71;Other regions
DNK;2016-2018;Acanthocybium solandri;Other regions;ICCAT;Atlantic Ocean and adjacent seas;-;-;-;-;-;;21,31,27,34,37;Acanthocybium solandri;Atlantic Ocean and adjacent seas;21,31,27,34,37;Other regions
DNK;2016-2018;Aequipecten opercularis;North Atlantic;ICES;VII;-;-;-;-;-;( Kammusl./jomfruøst. );27_7;Aequipecten opercularis;VII;27_7;North Atlantic
DNK;2016-2018;Alepocephalus bairdii;North Atlantic;ICES;VI,XII;-;-;-;-;-;;27_6,27_12;Alepocephalus bairdii;VI,XII;27_6,27_12;North Atlantic
DNK;2016-2018;Allocyttus guineensis;Other regions;SEAFO;South-East Atlantic;-;-;-;-;-;;47;Allocyttus guineensis;South-East Atlantic;47;Other regions
DNK;2016-2018;Allocyttus verucossus;Other regions;SEAFO;South-East Atlantic;-;-;-;-;-;;47;Allocyttus verucossus;South-East Atlantic;47;Other regions
DNK;2016-2018;Alopias pelagicus;Other regions;IOTC;Indian Ocean Western and Eastern;-;-;-;-;-;;51,57;Alopias pelagicus;Indian Ocean Western and Eastern;51,57;Other regions
DNK;2016-2018;Alopias pelagicus;Other regions;WCPFC;West Central Pacific Ocean;-;-;-;-;-;;71;Alopias pelagicus;West Central Pacific Ocean;71;Other regions
DNK;2016-2018;Alopias superciliosus;Other regions;IOTC;Indian Ocean Western and Eastern;-;-;-;-;-;;51,57;Alopias superciliosus;Indian Ocean Western and Eastern;51,57;Other regions
DNK;2016-2018;Alopias superciliosus;Other regions;WCPFC;West Central Pacific Ocean;-;-;-;-;-;;71;Alopias superciliosus;West Central Pacific Ocean;71;Other regions
DNK;2016-2018;Alopias vulpinus;Other regions;WCPFC;West Central Pacific Ocean;-;-;-;-;-;( Rævehaj );71;Alopias vulpinus;West Central Pacific Ocean;71;Other regions
DNK;2016-2018;Alopias vulpinus;North Sea and Eastern Arctic;ICES;all areas;-;-;-;-;-;( Rævehaj );27_4,27_7_D;Alopias vulpinus;all areas;27_4,27_7_D;North Sea and Eastern Arctic
DNK;2016-2018;Amblyraja radiata;North Sea and Eastern Arctic;ICES;IV;-;-;-;-;-;;27_4;Amblyraja radiata;IV;27_4;North Sea and Eastern Arctic
DNK;2016-2018;Amblyraja radiata;Other regions;NAFO 3LNOPs;21;-;-;-;-;-;;;Amblyraja radiata;21;;Other regions
DNK;2016-2018;Ammodytes spp;North Sea and Eastern Arctic;ICES;IV;Y;171158;94%;85%;N;( Tobis ) | FIDES Initial.Quantity = 195875;27_4;Ammodytes spp,Ammodytes tobianus;IV;27_4;North Sea and Eastern Arctic
DNK;2016-2018;Ammodytes spp;North Sea and Eastern Arctic;ICES;IIIa;Y;15368;94%;99%;N;( Tobis ) | FIDES Initial.Quantity = 195875;27_3_A;Ammodytes spp,Ammodytes tobianus;IIIa;27_3_A;North Sea and Eastern Arctic
DNK;2016-2018;Ammodytes spp;North Atlantic;ICES;VIa;-;-;-;-;-;( Tobis );27_6_A;Ammodytes spp,Ammodytes tobianus;VIa;27_6_A;North Atlantic
DNK;2016-2018;Anarhichas spp;North Sea and Eastern Arctic;ICES;IV;Y;400;-;42%;N;( Havkat );27_4;Anarhichas spp,Anarhichas minor,Anarhichas denticulatus,Anarhichas lupus;IV;27_4;North Sea and Eastern Arctic
DNK;2016-2018;Anguilla anguilla;North Sea and Eastern Arctic;ICES;I-II;-;-;-;-;-;( Gule Ål );27_1,27_2;Anguilla anguilla;I-II;27_1,27_2;North Sea and Eastern Arctic
DNK;2016-2018;Anguilla anguilla;North Sea and Eastern Arctic;ICES;IIIa;Y;23;-;99%;N;( Gule Ål );27_3_A;Anguilla anguilla;IIIa;27_3_A;North Sea and Eastern Arctic
